Verb,Speaker,Sentence,Origin,BirthYear,Gender,Race
gen,KS,"E ye te kòne di, 'ye <VERB>gen</VERB> kè-ki-chòj la ki pa bon, pa kònen ki-moun se se ben enn ann nouzòt la pa bon.'",False_River,1938,Male,Black
ka,KS,"Mo te kònè plen andan zafè-sa-ye ben RIGHT NOW mo jis pa <VERB>ka</VERB> mennen ye dan mo latet astè-la, men ka m a jongle ye mo gen pou ekri ye, e dèn ka mo a wa twa mo ka, dèn m a ka di twa.",False_River,1938,Male,Black
gen,KS,"Ye <VERB>gen</VERB> plen, sè just pou jongle ye, BRING THEM BACK TO MIND, si m a ka BRING ye BACK, THEN, m a di vou.",False_River,1938,Male,Black
lenm,KS,"Ka to jongle ye en ti bren, vou ka wa ka ye ekri vye zafè-ye vye moun, moun-ye astè ye ye <VERB>lenm</VERB> zafè-sa-la.",False_River,1938,Male,Black
lenm,KS,"Ye <VERB>lenm</VERB> koute li, e konte li avek enn-a-lòt.",False_River,1938,Male,Black
rapèl,KS,"Li <VERB>rapèl</VERB> plen zafè, ben li <VERB>rapèl</VERB> pa tou le vyè fas (...) vye moun-ye te konnen fe.",False_River,1938,Male,Black
rapèl,KS,"Li <VERB>rapèl</VERB> plen zafè, ben li <VERB>rapèl</VERB> pa tou le vyè fas (...) vye moun-ye te konnen fe.",False_River,1938,Male,Black
gen,KS,"I se ye pa <VERB>gen</VERB> bal astèr-la, ye pa konnen donse astèr (...).",False_River,1938,Male,Black
gen,KS,"I se tou--- ye pa <VERB>gen</VERB> moun ki <VERB>rapel</VERB> bal tanmbou-ye, juch li avek dè-ò-trwa lòt vye boug-ye, (...) ben ye te vyè piti.",False_River,1938,Male,Black
rapel,KS,"I se tou--- ye pa <VERB>gen</VERB> moun ki <VERB>rapel</VERB> bal tanmbou-ye, juch li avek dè-ò-trwa lòt vye boug-ye, (...) ben ye te vyè piti.",False_River,1938,Male,Black
pans,KS,"Mon <VERB>pans</VERB> se de zafè ye mennen isi dan SLAVERY.",False_River,1938,Male,Black
